date,open,high,low,close
2011-04-20,1.7768,1.7884,1.709,1.7552
2011-04-21,1.7688,1.8805,1.712,1.786
2011-04-22,1.7388,1.8223,1.7388,1.8144
2011-04-25,1.81,1.81,1.7563,1.7775
2011-04-26,1.8215,1.8907,1.8115,1.8115
2011-04-27,1.8789,1.914,1.821,1.821
2011-04-28,1.838,1.883,1.7891,1.853
2011-04-29,1.848,1.95,1.848,1.9
2011-05-02,1.85,1.9,1.85,1.9
2011-05-03,1.8927,1.8927,1.8104,1.8104
2011-05-04,1.8119,1.8459,1.7582,1.8459
2011-05-05,1.7863,1.9,1.7194,1.8004
2011-05-06,1.8369,1.91,1.827,1.827
2011-05-09,1.9,1.9,1.8,1.8698
2011-05-10,1.9367,1.9687,1.9267,1.9687
2011-05-11,1.9,1.9208,1.8072,1.8864
2011-05-12,1.8857,1.9317,1.8211,1.9317
2011-05-13,1.9553,1.9553,1.83,1.9073
2011-05-16,1.903,1.945,1.7897,1.7897
2011-05-17,1.8,1.9,1.7151,1.7554
2011-05-18,1.79,1.79,1.7101,1.781
2011-05-19,1.844,1.935,1.7932,1.93
2011-05-20,1.933,1.9345,1.8257,1.9345
2011-05-23,1.8853,1.9194,1.7999,1.822
2011-05-24,1.8051,1.8604,1.7912,1.7912
2011-05-25,1.8775,2.026,1.7981,2.026
2011-05-26,1.9474,2.067,1.8867,1.979
2011-05-27,2.01,2.064,1.9782,2.06
2011-05-31,2.0659,2.1105,1.99,2.025
2011-06-01,2.0,2.0538,1.927,1.9275
2011-06-02,1.926,2.0049,1.926,2.0049
2011-06-03,2.0701,2.2,2.0275,2.0941
2011-06-06,2.0423,2.0423,1.924,1.9915
2011-06-07,2.0016,2.0561,1.899,1.899
2011-06-08,1.899,1.9694,1.84,1.84
2011-06-09,1.8918,1.9003,1.808,1.8643
2011-06-10,1.9092,1.9489,1.8678,1.9352
2011-06-13,1.9324,1.9467,1.8681,1.8994
2011-06-14,1.9191,2.03,1.9191,1.9307
2011-06-15,1.912,1.945,1.8537,1.9035
2011-06-16,1.9071,1.9504,1.772,1.7901
2011-06-17,1.8438,1.9193,1.7816,1.7816
2011-06-20,1.7892,1.791,1.7,1.791
2011-06-21,1.8303,1.8948,1.7405,1.8948
2011-06-22,1.9085,1.9215,1.8072,1.825
2011-06-23,1.8202,1.924,1.7816,1.8836
2011-06-24,1.8727,1.9141,1.8727,1.9133
2011-06-27,1.8792,1.9733,1.8397,1.8397
2011-06-28,1.9112,1.9529,1.875,1.875
2011-06-29,1.9,1.9853,1.8951,1.967
2011-06-30,1.9,1.994,1.9,1.994
2011-07-01,2.017,2.0514,1.92,1.9999
2011-07-05,1.99,2.031,1.985,2.0083
2011-07-06,1.9905,2.0352,1.9417,1.9417
2011-07-07,2.0223,2.0223,1.959,1.994
2011-07-08,2.0331,2.0505,1.9621,1.9621
2011-07-11,1.9548,1.98,1.9517,1.98
2011-07-12,1.8956,1.9846,1.8936,1.937
2011-07-13,1.9276,1.9721,1.89,1.9159
2011-07-14,1.971,1.9813,1.8612,1.8639
2011-07-15,1.8884,1.8986,1.8679,1.8986
2011-07-18,1.873,1.8852,1.8526,1.8852
2011-07-19,1.9087,1.9356,1.879,1.9356
2011-07-20,1.8875,2.0995,1.8875,1.971
2011-07-21,1.9681,2.034,1.9422,2.0044
2011-07-22,1.9342,1.9969,1.9342,1.9628
2011-07-25,1.98,1.98,1.8995,1.8995
2011-07-26,1.9112,1.973,1.9112,1.9316
2011-07-27,1.9,1.9,1.854,1.8768
2011-07-28,1.87,1.9761,1.87,1.961
2011-07-29,1.8803,1.9687,1.8803,1.926
2011-08-01,1.9475,2.022,1.9459,1.966
2011-08-02,1.9517,1.971,1.884,1.8919
2011-08-03,1.9201,1.9201,1.7743,1.8345
2011-08-04,1.7674,1.8623,1.6933,1.71
2011-08-05,1.734,1.774,1.53,1.644
2011-08-08,1.57,1.6786,1.57,1.601
2011-08-09,1.69,1.7476,1.59,1.7152
2011-08-10,1.704,1.744,1.605,1.605
2011-08-11,1.6739,1.7179,1.6,1.7045
2011-08-12,1.743,1.835,1.7081,1.835
2011-08-15,1.8262,1.8262,1.7941,1.7941
2011-08-16,1.743,1.8507,1.743,1.8
2011-08-17,1.8261,1.8261,1.723,1.779
2011-08-18,1.7497,1.7497,1.6223,1.6683
2011-08-19,1.5964,1.641,1.5118,1.5364
2011-08-22,1.566,1.659,1.4958,1.5276
2011-08-23,1.479,1.5701,1.4438,1.5701
2011-08-24,1.58,1.6711,1.58,1.6106
2011-08-25,1.6521,1.6521,1.568,1.568
2011-08-26,1.529,1.6486,1.529,1.593
2011-08-29,1.668,1.7151,1.6248,1.7029
2011-08-30,1.6893,1.7287,1.646,1.683
2011-08-31,1.6897,1.8,1.6594,1.6594
2011-09-01,1.72,1.72,1.593,1.7
2011-09-02,1.6097,1.61,1.525,1.61
2011-09-06,1.5,1.5872,1.5,1.5872
2011-09-07,1.6087,1.6376,1.588,1.6376
2011-09-08,1.611,1.674,1.592,1.618
2011-09-09,1.56,1.599,1.56,1.599
2011-09-12,1.5,1.626,1.5,1.5313
2011-09-13,1.536,1.6868,1.536,1.6269
2011-09-14,1.618,1.707,1.618,1.6566
2011-09-15,1.6893,1.701,1.663,1.6915
2011-09-16,1.691,1.75,1.6789,1.75
2011-09-19,1.6746,1.801,1.597,1.777
2011-09-20,1.774,1.8527,1.7439,1.759
2011-09-21,1.77,1.8219,1.7441,1.7441
2011-09-22,1.7006,1.7898,1.7006,1.7162
2011-09-23,1.7215,1.8464,1.7215,1.8464
2011-09-26,1.831,1.831,1.69,1.7317
2011-09-27,1.7879,1.8684,1.7824,1.787
2011-09-28,1.7891,1.7891,1.663,1.6881
2011-09-29,1.7394,1.7894,1.59,1.617
2011-09-30,1.6561,1.6706,1.618,1.661
2011-10-03,1.7293,1.7334,1.55,1.652
2011-10-04,1.6128,1.6414,1.5806,1.6414
2011-10-05,1.674,1.7523,1.628,1.7377
2011-10-06,1.7747,1.9,1.71,1.831
2011-10-07,1.8743,1.8743,1.7379,1.8245
2011-10-10,1.8257,1.9,1.8257,1.8595
2011-10-11,1.915,1.915,1.813,1.8932
2011-10-12,1.8866,1.9346,1.8858,1.8968
2011-10-13,1.889,1.936,1.864,1.864
2011-10-14,1.9346,1.9835,1.8751,1.9
2011-10-17,1.8971,1.8971,1.8226,1.831
2011-10-18,1.84,1.9564,1.833,1.931
2011-10-19,1.947,1.947,1.83,1.917
2011-10-20,1.8459,1.8913,1.8,1.8913
2011-10-21,1.8908,1.9677,1.8042,1.8976
2011-10-24,1.927,1.94,1.9049,1.9049
2011-10-25,1.914,1.9755,1.914,1.9755
2011-10-26,1.9361,1.9658,1.8369,1.8897
2011-10-27,1.8965,1.99,1.883,1.9243
2011-10-28,1.9,2.0461,1.8977,2.0461
2011-10-31,1.9804,1.9924,1.964,1.964
2011-11-01,1.9345,2.001,1.9345,2.001
2011-11-02,1.9564,2.0398,1.8966,1.934
2011-11-03,2.0,2.193,2.0,2.176
2011-11-04,2.1956,2.25,2.13,2.218
2011-11-07,2.1861,2.1861,2.06,2.0971
2011-11-08,2.1138,2.1763,2.112,2.1475
2011-11-09,2.067,2.1431,2.067,2.1431
2011-11-10,2.0979,2.2,2.0979,2.1861
2011-11-11,2.1955,2.3245,2.118,2.3245
2011-11-14,2.2,2.3192,2.2,2.3192
2011-11-15,2.2262,2.344,2.2262,2.344
2011-11-16,2.267,2.4097,2.267,2.4097
2011-11-17,2.4,2.4,2.3093,2.3093
2011-11-18,2.3014,2.356,2.1777,2.1777
2011-11-21,2.2455,2.2455,2.12,2.1665
2011-11-22,2.2154,2.244,2.1,2.239
2011-11-23,2.2142,2.2142,2.1285,2.1518
2011-11-25,2.1849,2.2278,2.172,2.209
2011-11-28,2.1642,2.3067,2.1642,2.2697
2011-11-29,2.177,2.299,2.177,2.2072
2011-11-30,2.1836,2.2588,2.1836,2.2588
2011-12-01,2.1719,2.283,2.1719,2.243
2011-12-02,2.1952,2.27,2.1952,2.25
2011-12-05,2.2535,2.4434,2.2535,2.3511
2011-12-06,2.32,2.3826,2.32,2.3826
2011-12-07,2.3476,2.377,2.2551,2.3448
2011-12-08,2.09,2.1519,2.008,2.1519
2011-12-09,2.087,2.1647,2.087,2.1101
2011-12-12,2.0833,2.1281,2.0774,2.1095
2011-12-13,2.049,2.14,1.9844,2.0531
2011-12-14,2.0276,2.0376,1.927,1.927
2011-12-15,1.945,2.0046,1.9043,1.989
2011-12-16,1.9713,1.9797,1.9192,1.9321
2011-12-19,1.9173,1.9173,1.8943,1.9
2011-12-20,1.9,1.9284,1.9,1.9
2011-12-21,1.8821,1.9006,1.7574,1.886
2011-12-22,1.85,1.92,1.84,1.9136
2011-12-23,1.8959,1.9514,1.877,1.9
2011-12-27,1.891,2.013,1.891,1.925
2011-12-28,1.9807,2.0388,1.908,1.908
2011-12-29,1.956,2.023,1.9189,1.9962
2011-12-30,1.982,1.982,1.9306,1.963
2012-01-03,1.9705,2.006,1.8731,1.925
2012-01-04,1.9691,1.9774,1.886,1.9242
2012-01-05,1.8681,1.949,1.84,1.851
2012-01-06,1.85,1.8879,1.8069,1.855
2012-01-09,1.8,1.8572,1.794,1.8308
2012-01-10,1.8702,1.9257,1.8664,1.9257
2012-01-11,1.9328,1.9328,1.87,1.931
2012-01-12,1.9879,1.9879,1.9237,1.93
2012-01-13,1.9646,2.0,1.5381,1.5381
2012-01-17,1.8214,1.8729,1.8214,1.8345
2012-01-18,1.8489,1.861,1.76,1.8502
2012-01-19,1.8461,1.8519,1.794,1.794
2012-01-20,1.8451,1.9,1.81,1.8539
2012-01-23,1.8243,1.827,1.7863,1.7863
2012-01-24,1.7955,1.906,1.7955,1.906
2012-01-25,1.862,1.9179,1.8354,1.9179
2012-01-26,1.9316,2.0,1.9316,2.0
2012-01-27,1.9,2.0435,1.9,1.9936
2012-01-30,2.009,2.0118,1.9749,2.0118
2012-01-31,2.0739,2.0739,1.9532,1.987
2012-02-01,2.018,2.04,1.99,2.04
2012-02-02,1.9908,2.1334,1.9908,2.1058
2012-02-03,2.11,2.1566,2.059,2.1566
2012-02-06,2.1042,2.1983,2.1042,2.13
2012-02-07,2.17,2.22,2.0641,2.1976
2012-02-08,2.1394,2.226,2.109,2.1818
2012-02-09,2.1438,2.2689,2.1058,2.178
2012-02-10,2.1538,2.1827,2.0494,2.0829
2012-02-13,2.1168,2.1787,2.09,2.1774
2012-02-14,2.166,2.2814,2.0999,2.2549
2012-02-15,2.2465,2.302,2.2109,2.29
2012-02-16,2.3242,2.3331,2.2287,2.3005
2012-02-17,2.274,2.4377,2.274,2.4377
2012-02-21,2.4274,2.4274,2.3,2.3
2012-02-22,2.3,2.3905,2.2266,2.3511
2012-02-23,2.3,2.4246,2.2737,2.389
2012-02-24,2.288,2.315,2.276,2.31
2012-02-27,2.3317,2.3357,2.268,2.268
2012-02-28,2.2563,2.321,2.2563,2.313
2012-02-29,2.293,2.3561,2.2707,2.3194
2012-03-01,2.256,2.366,2.256,2.366
2012-03-02,2.3326,2.4,2.2969,2.3447
2012-03-05,2.35,2.4038,2.2775,2.2907
2012-03-06,2.2799,2.2872,2.2166,2.2166
2012-03-07,2.222,2.311,2.222,2.311
2012-03-08,2.2336,2.3104,2.2336,2.284
2012-03-09,2.3076,2.424,2.3076,2.42
2012-03-12,2.3918,2.5368,2.3462,2.5183
2012-03-13,2.464,2.5578,2.464,2.489
2012-03-14,2.4,2.5,2.36,2.3797
2012-03-15,2.465,2.4732,2.4145,2.4145
2012-03-16,2.3571,2.4722,2.3571,2.4722
2012-03-19,2.382,2.4316,2.347,2.385
2012-03-20,2.41,2.4638,2.3154,2.333
2012-03-21,2.4388,2.4388,2.322,2.4355
2012-03-22,2.4073,2.4073,2.3611,2.3977
2012-03-23,2.39,2.39,2.27,2.287
2012-03-26,2.4191,2.5821,2.4191,2.5621
2012-03-27,2.5526,2.6766,2.5526,2.5528
2012-03-28,2.5794,2.6343,2.566,2.566
2012-03-29,2.61,2.632,2.5322,2.6118
2012-03-30,2.6102,2.6131,2.486,2.4916
2012-04-02,2.5466,2.5535,2.4573,2.4573
2012-04-03,2.459,2.691,2.459,2.571
2012-04-04,2.3588,2.468,2.3453,2.4254
2012-04-05,2.38,2.4329,2.38,2.3887
2012-04-09,2.2741,2.308,2.2686,2.28
2012-04-10,2.27,2.3236,2.2,2.214
2012-04-11,2.255,2.302,2.191,2.302
2012-04-12,2.2943,2.3077,2.2831,2.2905
2012-04-13,2.2917,2.2917,2.28,2.2877
2012-04-16,2.2947,2.2948,2.1982,2.23
2012-04-17,2.245,2.245,2.187,2.187
2012-04-18,2.2391,2.2735,2.187,2.2735
2012-04-19,2.2381,2.2686,2.1984,2.2358
2012-04-20,2.2124,2.3135,2.2124,2.25
2012-04-23,2.2452,2.3,2.118,2.1428
2012-04-24,2.124,2.193,2.0871,2.193
2012-04-25,2.219,2.26,2.183,2.26
2012-04-26,2.2813,2.3006,2.196,2.2677
2012-04-27,2.26,2.3323,2.26,2.3323
2012-04-30,2.224,2.277,2.224,2.2386
2012-05-01,2.3151,2.3643,2.2538,2.315
2012-05-02,2.2852,2.3556,2.2852,2.2871
2012-05-03,2.3215,2.3215,2.151,2.171
2012-05-04,2.2179,2.2179,2.134,2.134
2012-05-07,2.2211,2.2211,2.1943,2.1943
2012-05-08,2.1957,2.2863,2.026,2.0705
2012-05-09,2.07,2.0961,2.014,2.056
2012-05-10,2.27,2.426,2.26,2.2713
2012-05-11,2.213,2.25,2.166,2.25
2012-05-14,2.182,2.182,2.0525,2.058
2012-05-15,2.0904,2.099,1.986,1.986
2012-05-16,1.979,2.054,1.934,2.0047
2012-05-17,1.9786,2.079,1.9263,1.9263
2012-05-18,1.9365,1.9538,1.8759,1.8852
2012-05-21,1.8941,2.004,1.876,2.004
2012-05-22,2.0082,2.1758,2.0,2.1034
2012-05-23,2.0652,2.143,2.0642,2.143
2012-05-24,2.1097,2.1588,2.0272,2.0272
2012-05-25,2.0216,2.125,2.0019,2.0132
2012-05-29,2.0404,2.206,2.0255,2.1941
2012-05-30,2.1504,2.1504,2.044,2.044
2012-05-31,2.0078,2.0722,1.9471,1.9948
2012-06-01,1.986,2.028,1.8595,1.8967
2012-06-04,1.9098,1.9382,1.8362,1.9382
2012-06-05,1.933,1.933,1.8617,1.8789
2012-06-06,1.94,2.041,1.901,2.041
2012-06-07,2.0756,2.0756,1.9558,1.9558
2012-06-08,1.978,2.076,1.97,2.076
2012-06-11,2.0703,2.0971,1.9925,1.9925
2012-06-12,2.0177,2.0177,1.9368,1.9915
2012-06-13,2.02,2.0589,1.9883,2.0589
2012-06-14,2.104,2.1123,1.969,1.9967
2012-06-15,2.0567,2.086,1.943,2.086
2012-06-18,2.065,2.2584,1.9843,2.2145
2012-06-19,2.228,2.228,2.1,2.1997
2012-06-20,2.3331,2.4,2.276,2.348
2012-06-21,2.362,2.362,2.1875,2.244
2012-06-22,2.2452,2.3031,2.22,2.2753
2012-06-25,2.3211,2.3255,2.2323,2.2663
2012-06-26,2.2283,2.2572,2.1271,2.1652
2012-06-27,2.1971,2.235,2.132,2.132
2012-06-28,2.2235,2.2235,2.0446,2.142
2012-06-29,2.2488,2.2831,2.1393,2.156
2012-07-02,2.17,2.17,2.0378,2.0836
2012-07-03,2.14,2.14,2.045,2.045
2012-07-05,2.113,2.138,2.1114,2.138
2012-07-06,2.116,2.2088,2.0609,2.139
2012-07-09,2.0834,2.1465,2.0834,2.1465
2012-07-10,2.1627,2.1781,2.1007,2.1007
2012-07-11,2.1064,2.2024,2.1057,2.2024
2012-07-12,2.154,2.25,2.0919,2.25
2012-07-13,2.239,2.3843,2.2324,2.2911
2012-07-16,2.289,2.5,2.289,2.4273
2012-07-17,2.4179,2.4179,2.1878,2.248
2012-07-18,2.187,2.3158,2.0792,2.2479
2012-07-19,2.2614,2.31,2.15,2.202
2012-07-20,2.176,2.176,2.1352,2.1352
2012-07-23,2.1,2.1888,2.0464,2.066
2012-07-24,2.136,2.136,1.9778,2.0539
2012-07-25,2.0695,2.0695,1.9639,1.98
2012-07-26,2.0887,2.0887,1.8756,1.8994
2012-07-27,1.999,2.0518,1.8863,1.9974
2012-07-30,2.0639,2.0822,1.8419,1.8419
2012-07-31,1.864,1.8672,1.833,1.833
2012-08-01,1.946,1.946,1.76,1.76
2012-08-02,1.8,1.83,1.7214,1.82
2012-08-03,1.866,1.9107,1.7848,1.82
2012-08-06,1.8807,1.9779,1.8807,1.9063
2012-08-07,1.948,2.06,1.9,2.0576
2012-08-08,2.0286,2.0345,1.986,2.0345
2012-08-09,2.048,2.048,1.961,1.9957
2012-08-10,2.009,2.09,2.009,2.09
2012-08-13,2.0334,2.1763,2.0305,2.143
2012-08-14,2.14,2.14,1.9994,1.9994
2012-08-15,2.0449,2.0449,1.9676,2.03
2012-08-16,2.0319,2.102,2.03,2.03
2012-08-17,2.0997,2.117,2.0288,2.0512
2012-08-20,2.01,2.063,2.01,2.0394
2012-08-21,2.039,2.039,2.0014,2.0014
2012-08-22,1.978,2.0765,1.978,2.0765
2012-08-23,2.0,2.1006,1.9929,2.0809
2012-08-24,2.035,2.052,1.9669,1.9669
2012-08-27,2.0312,2.07,1.888,1.891
2012-08-28,1.9315,2.0493,1.9004,1.9506
2012-08-29,1.9291,1.9291,1.878,1.924
2012-08-30,1.9412,1.979,1.9412,1.96
2012-08-31,1.9531,1.9926,1.89,1.9444
